entry_time,exit_time,entry_price,exit_price,position_sz,initial_sl,trailing_sl,tp_price,pnl_usd,exit_reason,atr_entry,bars_held,proba_dnn,proba_xgb
2025-10-22 03:00:00,2025-10-22 06:00:00,4075.01,4140.97,19.0621,4017.29,4017.29,4140.97,1257.38,take_profit,41.23,3,0.4286,0.9295
2025-10-22 11:00:00,2025-10-22 14:00:00,4070.34,4017.86,21.2019,4017.86,4017.86,4130.32,-1112.78,trailing_stop,37.49,3,0.2493,0.8837
2025-10-27 16:00:00,2025-10-28 08:00:00,3987.9,3954.91,33.3925,3954.91,3954.91,4025.6,-1101.65,trailing_stop,23.57,15,0.3688,0.9217
2025-10-28 08:00:00,2025-10-28 10:00:00,3942.63,3911.74,35.3117,3911.74,3911.74,3977.93,-1090.64,trailing_stop,22.06,2,0.4482,0.8838
2025-10-28 10:00:00,2025-10-28 15:00:00,3897.43,3936.39,31.6757,3863.34,3863.34,3936.39,1233.98,take_profit,24.35,5,0.5361,0.9009
2025-11-14 15:00:00,2025-11-14 17:00:00,4055.84,4093.96,32.7448,4022.49,4022.49,4093.96,1248.08,take_profit,23.82,2,0.3789,0.7399
2025-11-17 07:00:00,2025-11-17 10:00:00,4058.28,4091.72,37.7521,4029.02,4029.02,4091.72,1262.34,take_profit,20.9,3,0.4919,0.8883
2025-11-17 10:00:00,2025-11-17 21:00:00,4077.33,4049.12,39.6091,4049.12,4049.12,4109.56,-1117.17,trailing_stop,20.15,11,0.3915,0.8212
2025-11-17 21:00:00,2025-11-18 01:00:00,4011.08,4046.59,35.5925,3980.01,3980.01,4046.59,1264.0,take_profit,22.2,3,0.4024,0.7746
2025-11-18 04:00:00,2025-11-18 15:00:00,4017.73,4053.18,36.0585,3986.71,3992.73,4053.18,1278.45,take_profit,22.16,11,0.2661,0.8454
2025-12-29 16:00:00,2025-12-29 17:00:00,4360.07,4319.21,27.6903,4319.21,4319.21,4406.77,-1131.43,trailing_stop,29.19,1,0.2427,0.9094
2025-12-29 17:00:00,2025-12-29 21:00:00,4325.17,4336.88,25.3391,4280.96,4280.96,4375.69,296.72,end_of_data,31.57,4,0.3073,0.8886
